Incident_ID,Created_Date,Resolved_Date,closed_at,priority,category,Assigned_To,SLA_Status,Resolution_Time,Category,Priority
INC0000159,2016-02-29 10:17:00,2016-03-02 10:09:00,7/3/2016 11:00,3 - Moderate,Category 24,Group 28,Met,1.0,Category 24,3 - Moderate
INC0000160,2016-02-29 10:18:00,,5/3/2016 11:00,3 - Moderate,Category 53,Group 70,Met,,Category 53,3 - Moderate
INC0000161,2016-02-29 10:18:00,2016-03-08 09:22:00,24/3/2016 18:40,4 - Low,Category 37,Group 29,Breached,7.0,Category 37,4 - Low
INC0000164,2016-02-29 10:18:00,2016-03-03 14:34:00,8/3/2016 15:00,3 - Moderate,Category 53,Group 70,Met,3.0,Category 53,3 - Moderate
INC0000166,2016-02-29 10:24:00,2016-02-29 16:24:00,5/3/2016 17:00,3 - Moderate,Category 9,Group 27,Met,0.0,Category 9,3 - Moderate
INC0000167,2016-02-29 10:27:00,2016-02-29 11:02:00,5/3/2016 12:00,3 - Moderate,Category 20,Group 70,Met,0.0,Category 20,3 - Moderate
INC0000168,2016-02-29 10:27:00,2016-03-01 09:05:00,6/3/2016 10:00,3 - Moderate,Category 9,Group 24,Met,0.0,Category 9,3 - Moderate
INC0000169,2016-02-29 10:30:00,2016-03-02 15:06:00,7/3/2016 16:00,3 - Moderate,Category 53,Group 54,Met,2.0,Category 53,3 - Moderate
INC0000171,2016-02-29 10:33:00,2016-03-18 13:44:00,24/3/2016 18:59,2 - High,Category 24,Group 70,Breached,18.0,Category 24,2 - High
INC0000172,2016-02-29 10:36:00,2016-02-29 18:24:00,5/3/2016 19:00,3 - Moderate,Category 23,Group 20,Met,0.0,Category 23,3 - Moderate
INC0000173,2016-02-29 10:36:00,2016-04-11 14:49:00,16/4/2016 15:07,4 - Low,Category 55,Group 65,Breached,42.0,Category 55,4 - Low
INC0000174,2016-02-29 10:39:00,2016-03-02 13:01:00,2/3/2016 13:02,3 - Moderate,Category 32,Group 54,Met,2.0,Category 32,3 - Moderate
INC0000176,2016-02-29 10:40:00,2016-03-02 15:07:00,7/3/2016 16:00,3 - Moderate,Category 53,Group 54,Met,2.0,Category 53,3 - Moderate
INC0000178,2016-02-29 10:45:00,2016-02-29 11:55:00,5/3/2016 12:00,3 - Moderate,Category 20,Group 70,Met,0.0,Category 20,3 - Moderate
INC0000179,2016-02-29 10:46:00,2016-03-02 09:20:00,7/3/2016 10:00,3 - Moderate,Category 53,Group 28,Met,1.0,Category 53,3 - Moderate
INC0000192,2016-02-29 10:58:00,2016-02-29 11:02:00,5/3/2016 12:00,3 - Moderate,Category 45,Group 70,Met,0.0,Category 45,3 - Moderate
INC0000193,2016-02-29 10:59:00,2016-03-01 16:03:00,6/3/2016 17:00,3 - Moderate,Category 37,Group 46,Met,1.0,Category 37,3 - Moderate
INC0000194,2016-02-29 10:59:00,2016-02-29 11:11:00,5/3/2016 12:00,3 - Moderate,Category 42,Group 70,Met,0.0,Category 42,3 - Moderate
INC0000195,2016-02-29 11:00:00,2016-03-02 15:15:00,7/3/2016 16:00,3 - Moderate,Category 53,Group 54,Met,2.0,Category 53,3 - Moderate
INC0000197,2016-02-29 11:02:00,2016-03-31 11:13:00,5/4/2016 11:59,3 - Moderate,Category 45,Group 27,Breached,31.0,Category 45,3 - Moderate
INC0000199,2016-02-29 11:06:00,,5/3/2016 12:00,4 - Low,Category 42,Group 70,Met,,Category 42,4 - Low
INC0000204,2016-02-29 11:13:00,2016-02-29 16:43:00,5/3/2016 17:00,4 - Low,Category 53,Group 23,Met,0.0,Category 53,4 - Low
INC0000207,2016-02-29 11:19:00,2016-02-29 20:15:00,5/3/2016 21:00,3 - Moderate,Category 9,Group 70,Met,0.0,Category 9,3 - Moderate
INC0000211,2016-02-29 11:23:00,2016-03-03 06:46:00,8/3/2016 07:00,3 - Moderate,Category 23,Group 70,Met,2.0,Category 23,3 - Moderate
INC0000213,2016-02-29 11:25:00,2016-02-29 12:53:00,5/3/2016 13:00,3 - Moderate,Category 53,Group 70,Met,0.0,Category 53,3 - Moderate
INC0000217,2016-02-29 11:48:00,2016-03-08 09:27:00,24/3/2016 18:40,3 - Moderate,Category 37,Group 29,Breached,7.0,Category 37,3 - Moderate
INC0000218,2016-02-29 11:53:00,2016-02-29 13:36:00,5/3/2016 14:00,3 - Moderate,Category 9,Group 23,Met,0.0,Category 9,3 - Moderate
INC0000220,2016-02-29 11:56:00,2016-03-09 17:24:00,17/3/2016 16:27,3 - Moderate,Category 53,Group 23,Breached,9.0,Category 53,3 - Moderate
INC0000221,2016-02-29 11:58:00,2016-03-02 14:06:00,7/3/2016 15:00,3 - Moderate,Category 61,Group 74,Met,2.0,Category 61,3 - Moderate
INC0000223,2016-02-29 12:01:00,2016-03-03 08:57:00,8/3/2016 09:00,3 - Moderate,Category 53,Group 5,Met,2.0,Category 53,3 - Moderate
INC0000228,2016-02-29 12:11:00,2016-02-29 16:08:00,5/3/2016 17:00,3 - Moderate,Category 26,Group 27,Met,0.0,Category 26,3 - Moderate
INC0000230,2016-02-29 12:14:00,2016-03-07 15:12:00,24/3/2016 18:40,3 - Moderate,Category 55,Group 33,Breached,7.0,Category 55,3 - Moderate
INC0000232,2016-02-29 12:20:00,2016-03-12 21:23:00,24/3/2016 18:50,4 - Low,Category 45,Group 70,Breached,12.0,Category 45,4 - Low
INC0000236,2016-02-29 12:26:00,2016-02-29 13:16:00,5/3/2016 14:00,3 - Moderate,Category 45,Group 70,Met,0.0,Category 45,3 - Moderate
INC0000237,2016-02-29 12:27:00,2016-03-01 14:04:00,6/3/2016 15:00,3 - Moderate,Category 45,Group 70,Met,1.0,Category 45,3 - Moderate
INC0000246,2016-02-29 12:41:00,2016-03-04 11:56:00,9/3/2016 12:00,3 - Moderate,Category 20,Group 27,Breached,3.0,Category 20,3 - Moderate
INC0000250,2016-02-29 12:43:00,2016-03-12 21:30:00,24/3/2016 18:50,3 - Moderate,Category 32,Group 70,Breached,12.0,Category 32,3 - Moderate
INC0000253,2016-02-29 12:43:00,2016-03-02 09:08:00,7/3/2016 10:00,3 - Moderate,Category 26,Group 28,Met,1.0,Category 26,3 - Moderate
INC0000257,2016-02-29 12:48:00,2016-02-29 22:28:00,5/3/2016 23:00,3 - Moderate,Category 37,Group 12,Met,0.0,Category 37,3 - Moderate
INC0000259,2016-02-29 12:50:00,2016-03-02 10:39:00,7/3/2016 11:00,3 - Moderate,Category 9,Group 27,Met,1.0,Category 9,3 - Moderate
INC0000260,2016-02-29 12:52:00,2016-03-03 15:09:00,8/3/2016 16:00,3 - Moderate,Category 17,Group 69,Met,3.0,Category 17,3 - Moderate
INC0000261,2016-02-29 12:54:00,2016-02-29 17:47:00,29/2/2016 17:47,1 - Critical,Category 42,Group 3,Met,0.0,Category 42,1 - Critical
INC0000262,2016-02-29 12:59:00,2016-03-02 09:21:00,7/3/2016 10:00,3 - Moderate,Category 53,Group 28,Met,1.0,Category 53,3 - Moderate
INC0000265,2016-02-29 13:14:00,2016-03-02 15:29:00,7/3/2016 16:00,3 - Moderate,Category 20,Group 69,Met,2.0,Category 20,3 - Moderate
INC0000266,2016-02-29 13:18:00,2016-03-04 16:24:00,9/3/2016 17:00,3 - Moderate,Category 53,Group 28,Breached,4.0,Category 53,3 - Moderate
INC0000268,2016-02-29 13:24:00,2016-03-09 08:46:00,24/3/2016 18:40,3 - Moderate,Category 9,Group 27,Breached,8.0,Category 9,3 - Moderate
INC0000269,2016-02-29 13:30:00,,5/3/2016 14:00,3 - Moderate,Category 26,Group 70,Met,,Category 26,3 - Moderate
INC0000272,2016-02-29 13:36:00,2016-03-08 15:35:00,24/3/2016 18:40,4 - Low,Category 42,Group 39,Breached,8.0,Category 42,4 - Low
INC0000273,2016-02-29 13:36:00,2016-03-04 14:38:00,9/3/2016 15:00,3 - Moderate,Category 53,Group 23,Breached,4.0,Category 53,3 - Moderate
INC0000278,2016-02-29 13:48:00,2016-02-29 14:46:00,5/3/2016 15:00,3 - Moderate,Category 45,Group 55,Met,0.0,Category 45,3 - Moderate
INC0000279,2016-02-29 13:50:00,2016-03-02 01:03:00,7/3/2016 02:00,3 - Moderate,Category 20,Group 70,Met,1.0,Category 20,3 - Moderate
INC0000280,2016-02-29 13:50:00,2016-03-07 19:57:00,24/3/2016 18:40,3 - Moderate,Category 20,Group 70,Breached,7.0,Category 20,3 - Moderate
INC0000282,2016-02-29 13:52:00,2016-03-03 12:34:00,8/3/2016 13:00,3 - Moderate,Category 53,Group 70,Met,2.0,Category 53,3 - Moderate
INC0000283,2016-02-29 13:54:00,2016-03-01 09:26:00,6/3/2016 10:00,3 - Moderate,Category 42,Group 39,Met,0.0,Category 42,3 - Moderate
INC0000284,2016-02-29 13:55:00,2016-03-02 11:57:00,7/3/2016 12:00,3 - Moderate,Category 53,Group 28,Met,1.0,Category 53,3 - Moderate
INC0000285,2016-02-29 13:56:00,2016-03-02 00:55:00,7/3/2016 01:00,3 - Moderate,Category 45,Group 70,Met,1.0,Category 45,3 - Moderate
INC0000286,2016-02-29 13:56:00,2016-03-03 16:07:00,8/3/2016 17:00,3 - Moderate,Category 53,Group 28,Met,3.0,Category 53,3 - Moderate
INC0000290,2016-02-29 13:59:00,,5/3/2016 15:00,3 - Moderate,Category 45,Group 70,Met,,Category 45,3 - Moderate
INC0000292,2016-02-29 14:04:00,2016-03-02 09:57:00,7/3/2016 10:00,4 - Low,Category 20,Group 28,Met,1.0,Category 20,4 - Low
INC0000294,2016-02-29 14:06:00,2016-03-14 08:25:00,24/3/2016 18:50,3 - Moderate,Category 20,Group 25,Breached,13.0,Category 20,3 - Moderate
INC0000295,2016-02-29 14:09:00,2016-03-04 09:33:00,9/3/2016 10:00,3 - Moderate,Category 13,Group 23,Breached,3.0,Category 13,3 - Moderate
INC0000297,2016-02-29 14:15:00,2016-03-04 09:34:00,9/3/2016 10:00,3 - Moderate,Category 13,Group 23,Breached,3.0,Category 13,3 - Moderate
INC0000298,2016-02-29 14:16:00,2016-11-25 08:07:00,30/11/2016 08:10,4 - Low,Category 53,Group 66,Breached,269.0,Category 53,4 - Low
INC0000301,2016-02-29 14:22:00,2016-03-01 11:35:00,6/3/2016 12:00,3 - Moderate,Category 45,Group 55,Met,0.0,Category 45,3 - Moderate
INC0000302,2016-02-29 14:23:00,2016-03-22 12:57:00,27/3/2016 12:59,3 - Moderate,Category 35,Group 29,Breached,21.0,Category 35,3 - Moderate
INC0000303,2016-02-29 14:23:00,2016-03-10 17:47:00,24/3/2016 18:50,4 - Low,Category 53,Group 33,Breached,10.0,Category 53,4 - Low
INC0000304,2016-02-29 14:25:00,2016-03-03 15:09:00,8/3/2016 16:00,3 - Moderate,Category 53,Group 23,Met,3.0,Category 53,3 - Moderate
INC0000305,2016-02-29 14:28:00,2016-03-04 14:41:00,9/3/2016 15:00,3 - Moderate,Category 53,Group 28,Breached,4.0,Category 53,3 - Moderate
INC0000306,2016-02-29 14:28:00,2016-03-02 16:48:00,7/3/2016 17:00,3 - Moderate,Category 23,Group 54,Met,2.0,Category 23,3 - Moderate
INC0000307,2016-02-29 14:30:00,2016-12-19 14:55:00,24/12/2016 15:00,4 - Low,Category 45,Group 66,Breached,294.0,Category 45,4 - Low
INC0000310,2016-02-29 14:33:00,2016-03-01 13:47:00,6/3/2016 14:00,4 - Low,Category 45,Group 66,Met,0.0,Category 45,4 - Low
INC0000315,2016-02-29 14:37:00,2016-03-07 09:12:00,24/3/2016 18:40,3 - Moderate,Category 23,Group 72,Breached,6.0,Category 23,3 - Moderate
INC0000317,2016-02-29 14:40:00,2016-04-25 17:06:00,30/4/2016 17:07,4 - Low,Category 45,Group 66,Breached,56.0,Category 45,4 - Low
INC0000318,2016-02-29 14:43:00,2016-03-28 12:10:00,2/4/2016 13:59,4 - Low,Category 45,Group 66,Breached,27.0,Category 45,4 - Low
INC0000319,2016-02-29 14:44:00,2016-03-02 15:12:00,7/3/2016 16:00,3 - Moderate,Category 37,Group 46,Met,2.0,Category 37,3 - Moderate
INC0000323,2016-02-29 14:45:00,,5/3/2016 15:00,3 - Moderate,Category 20,Group 70,Met,,Category 20,3 - Moderate
INC0000324,2016-02-29 14:47:00,2016-06-16 09:34:00,21/6/2016 10:00,4 - Low,Category 45,Group 31,Breached,107.0,Category 45,4 - Low
INC0000325,2016-02-29 14:49:00,2016-03-16 08:56:00,24/3/2016 18:59,4 - Low,Category 45,Group 66,Breached,15.0,Category 45,4 - Low
INC0000329,2016-02-29 14:50:00,2016-03-16 11:38:00,24/3/2016 18:59,3 - Moderate,Category 42,Group 28,Breached,15.0,Category 42,3 - Moderate
INC0000330,2016-02-29 14:52:00,2016-03-18 13:44:00,24/3/2016 18:59,4 - Low,Category 45,Group 66,Breached,17.0,Category 45,4 - Low
INC0000332,2016-02-29 14:53:00,2016-03-09 10:50:00,24/3/2016 18:40,3 - Moderate,Category 26,Group 70,Breached,8.0,Category 26,3 - Moderate
INC0000333,2016-02-29 14:56:00,2016-04-29 09:41:00,4/5/2016 10:07,4 - Low,Category 45,Group 66,Breached,59.0,Category 45,4 - Low
INC0000336,2016-02-29 15:03:00,2016-03-10 17:27:00,24/3/2016 18:50,4 - Low,Category 45,Group 66,Breached,10.0,Category 45,4 - Low
INC0000337,2016-02-29 15:07:00,2016-05-30 12:23:00,4/6/2016 13:07,3 - Moderate,Category 45,Group 66,Breached,90.0,Category 45,3 - Moderate
INC0000338,2016-02-29 15:10:00,2016-04-05 14:18:00,10/4/2016 14:59,4 - Low,Category 45,Group 66,Breached,35.0,Category 45,4 - Low
INC0000339,2016-02-29 15:12:00,2016-02-29 16:17:00,5/3/2016 17:00,3 - Moderate,Category 26,Group 23,Met,0.0,Category 26,3 - Moderate
INC0000341,2016-02-29 15:13:00,2016-08-02 14:33:00,7/8/2016 15:00,1 - Critical,Category 45,Group 66,Breached,154.0,Category 45,1 - Critical
INC0000343,2016-02-29 15:14:00,2016-12-22 09:31:00,27/12/2016 10:00,4 - Low,Category 45,Group 31,Breached,296.0,Category 45,4 - Low
INC0000345,2016-02-29 15:17:00,2016-03-01 16:00:00,6/3/2016 17:00,3 - Moderate,Category 24,Group 23,Met,1.0,Category 24,3 - Moderate
INC0000346,2016-02-29 15:17:00,2016-04-29 09:45:00,4/5/2016 10:07,3 - Moderate,Category 45,Group 66,Breached,59.0,Category 45,3 - Moderate
INC0000347,2016-02-29 15:21:00,2016-03-03 09:14:00,8/3/2016 10:00,3 - Moderate,Category 61,Group 30,Met,2.0,Category 61,3 - Moderate
INC0000348,2016-02-29 15:22:00,2016-04-18 09:44:00,23/4/2016 10:07,4 - Low,Category 45,Group 31,Breached,48.0,Category 45,4 - Low
INC0000351,2016-02-29 15:24:00,2016-03-21 16:11:00,26/3/2016 16:59,4 - Low,Category 45,Group 66,Breached,21.0,Category 45,4 - Low
INC0000352,2016-02-29 15:27:00,,5/3/2016 17:00,3 - Moderate,Category 32,Group 70,Met,,Category 32,3 - Moderate
INC0000353,2016-02-29 15:27:00,,5/3/2016 16:00,3 - Moderate,Category 9,Group 70,Met,,Category 9,3 - Moderate
INC0000355,2016-02-29 15:30:00,2016-03-03 11:54:00,8/3/2016 12:00,3 - Moderate,Category 61,Group 30,Met,2.0,Category 61,3 - Moderate
INC0000356,2016-02-29 15:32:00,2016-03-08 08:52:00,24/3/2016 18:40,3 - Moderate,Category 53,Group 26,Breached,7.0,Category 53,3 - Moderate
INC0000357,2016-02-29 15:34:00,2016-03-02 16:25:00,7/3/2016 17:00,3 - Moderate,Category 23,Group 70,Met,2.0,Category 23,3 - Moderate
INC0000358,2016-02-29 15:36:00,2016-02-29 15:43:00,9/3/2016 16:27,4 - Low,?,?,Met,0.0,?,4 - Low
INC0000359,2016-02-29 15:37:00,2016-07-12 09:42:00,17/7/2016 10:00,4 - Low,?,Group 31,Breached,133.0,?,4 - Low
INC0000361,2016-02-29 15:38:00,2016-03-09 17:23:00,24/3/2016 18:40,3 - Moderate,Category 53,Group 54,Breached,9.0,Category 53,3 - Moderate
INC0000363,2016-02-29 15:45:00,2016-03-28 14:56:00,2/4/2016 14:59,4 - Low,Category 45,Group 31,Breached,27.0,Category 45,4 - Low
INC0000369,2016-02-29 15:48:00,2016-03-01 09:33:00,6/3/2016 10:00,3 - Moderate,Category 43,Group 39,Met,0.0,Category 43,3 - Moderate
INC0000370,2016-02-29 15:53:00,2016-03-01 08:31:00,6/3/2016 09:00,1 - Critical,Category 37,Group 30,Breached,0.0,Category 37,1 - Critical
